type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
judge,J5,Opti-Visor 增强现有 BAS 是通过替换其原有功能实现的。（ ）,,正确,错误,,,,Opti - Visor enhances the existing BAS by replacing its original functions. ( ),TRUE,FALSE,,,,错,Opti-Visor 增强现有 BAS 主要通过增加新的数据点和逻辑。,Opti-Visor enhances the existing BAS mainly by adding new data points and logic.
judge,J6,Opti-Visor 不适用于对已具备变频和 BMS 的项目进行改造。（ ）,,正确,错误,,,,Opti - Visor is not suitable for retrofitting projects with existing variable - frequency equipment and BMS. ( ),TRUE,FALSE,,,,错,Opti-Visor 非常适用于对已具备变频和 BMS 的项目进行改造。,Opti-Visor is highly suitable for retrofitting projects that already have variable-frequency technology and BMS.
judge,J7,Opti-Visor 控制过程中，会调整冷水机组供应温度设定值。（ ）,,正确,错误,,,,"During the control process of Opti - Visor, the chiller supply temperature setpoint will be adjusted. ( )",TRUE,FALSE,,,,对,,
judge,J8,当需求变化大于设定点时，Opti-Visor 会停止运行系统。（ ）,,正确,错误,,,,"When the demand change is greater than the setpoint, Opti - Visor will stop the system operation. ( )",TRUE,FALSE,,,,错,当需求变化大于设定点时，Opti-Visor 会重新计算负荷需求，调整设备运行参数，向 BAS 发送警报信息，记录运行数据。," When the demand change is greater than the setpoint, Opti-Visor will recalculate the load demand, adjust the equipment operation parameters, send alarm information to BAS, and record the operation data."
judge,J9,Opti-Visor 在控制机房设备时，完全取代了 BAS 的作用。（ ）,,正确,错误,,,,"When controlling chiller plant equipment, Opti - Visor completely replaces the role of BAS. ( )",TRUE,FALSE,,,,错,Opti-Visor 在控制机房设备时，BAS 负责设备的安全运行和基本操作，Opti-Visor 对设备进行优化微调，两者共享设备运行数据。,"When controlling machine room equipment, BAS is responsible for the safe operation and basic operations of the equipment, and Opti-Visor performs optimization and fine-tuning on the equipment. The two share the equipment operation data."
judge,J10,Opti-Visor 在应用于一次泵系统时，无法满足末端流量需求的动态变化。（ ）,,正确,错误,,,,"When applied to a primary pump system, Opti - Visor cannot meet the dynamic changes of end - user flow demand. ( )",TRUE,FALSE,,,,错,Opti-Visor 在应用于一次泵系统时，可以满足末端流量需求的动态变化。,"When applied to primary pump systems, Opti-Visor can meet the dynamic changes of terminal flow demand."
judge,J11,在 Opti-Visor 应用过程中，设备故障时只能人工手动修复，系统无任何协助。（ ）,,正确,错误,,,,"In the application process of Opti - Visor, when equipment failure occurs, only manual repair is possible, and the system provides no assistance. ( )",TRUE,FALSE,,,,错,在 Opti-Visor 应用过程中，设备故障时，Opti-Visor 会发出警报并协助定位问题，BAS 保障安全运行。,"During the application of Opti-Visor, when there is an equipment failure, Opti-Visor will issue an alarm and assist in locating the problem, and BAS will ensure safe operation."
judge,J12,Opti-Visor 能为客户带来的节能效果低于 10%。（ ）,,正确,错误,,,,The energy - saving effect that Opti - Visor can bring to customers is less than 10%. ( ),TRUE,FALSE,,,,错,Opti-Visor 能为客户带来的直接节能效果是15%-30%.,The direct energy-saving effect that Opti-Visor can bring to customers is 15%-30%.
judge,J13,Opti-Visor 的投资回报期通常不超过 2 年。（ ）,,正确,错误,,,,The payback period of Opti - Visor usually does not exceed 2 years. ( ),TRUE,FALSE,,,,对,,
judge,J14,Opti-Visor 相比传统控制方式在能源和水消耗方面节省比例不超过 20%。（ ）,,正确,错误,,,,The savings ratios of Opti - Visor compared with traditional control methods in terms of energy and water consumption do not exceed 20%. ( ),TRUE,FALSE,,,,错,Opti-Visor 相比传统控制方式在能源和水消耗方面节省比例是 20%-50%.,The proportion of energy and water consumption saved by Opti-Visor compared with traditional control methods is 20%-50%.
judge,J15,Opti-Visor 在提升设备可靠性方面没有任何作用。（ ）,,正确,错误,,,,Opti - Visor has no role in enhancing equipment reliability. ( ),TRUE,FALSE,,,,错,Opti-Visor 在提升设备可靠性方面的作用主要体现在优化控制逻辑，减少设备故障。,The role of Opti-Visor in enhancing equipment reliability is mainly reflected in optimizing the control logic to reduce equipment failures.
judge,J16,Opti-Visor 在温度稳定性方面比传统产品好。（ ）,,正确,错误,,,,Opti - Visor has better temperature stability than traditional products. ( ),TRUE,FALSE,,,,对,,
judge,J17,Opti-Visor 在确保设备和系统运行符合设计意图方面只能依靠人工检查。（ ）,,正确,错误,,,,Opti - Visor can only rely on manual inspection to ensure that equipment and system operation meet the design intent. ( ),TRUE,FALSE,,,,错,Opti-Visor 主要通过优化控制逻辑和远程支持确保设备和系统运行符合设计意图。,Opti-Visor ensures that equipment and systems operate in line with the design intent mainly through optimizing the control logic and remote support.
judge,J18,Opti-Visor 在与其他系统集成方面存在兼容性问题。（ ）,,正确,错误,,,,Opti - Visor has compatibility issues in terms of integration with other systems. ( ),TRUE,FALSE,,,,错,Opti-Visor可与多种楼宇管理系统（BMS）兼容。,Opti-Visor is compatible with multiple Building Management Systems (BMS).
judge,J19,Opti-Visor 在控制精度方面没有优势。（ ）,,正确,错误,,,,Opti - Visor has no advantages in control accuracy. ( ),TRUE,FALSE,,,,错,Opti-Visor 在控制精度方面的优势体现在对设备运行参数的精确监测；对负荷变化的快速准确响应；精确控制设备的启停和转速；精准调节温度和流量等参数；有效避免控制误差的累积。,"The advantages of Opti-Visor in control accuracy are reflected in the precise monitoring of equipment operation parameters, rapid and accurate response to load changes, precise control of equipment start/stop and rotational speed, precise adjustment of parameters such as temperature and flow rate, and effective avoidance of the accumulation of control errors."
judge,J20,Opti-Visor 在提升系统可预测性方面没有采取有效措施。（ ）,,正确,错误,,,,Opti - Visor does not take effective measures to enhance the predictability of the system. ( ),TRUE,FALSE,,,,错,Eco*Pulse用于预测能效诊断和分析。,Eco*Pulse is used for predictive energy efficiency diagnosis and analysis.
